Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
61313,11.6,11.8
61314,12.3,10.7
61315,10.8,14.2
61316,10.7,13.8
61317,Not Available,10.2
61319,Not Available,Not Available
61320,Not Available,11.1
61321,11.5,11.4
61322,12.5,12.1
61323,13.2,13.2
61324,Not Available,10.5
61325,Not Available,Not Available
61326,Not Available,Not Available
61327,10.8,12.8
61328,Not Available,Not Available
63301,Not Available,Not Available
70001,8.6,10.2
70002,8.9,12
70003,13.1,13.7
70004,12.7,11.4
70005,11.9,11.8
70006,12.9,9.3
70007,13.3,13
70008,11.7,11.2
70010,10.5,11.1
70011,11.6,10.5
70012,10.3,10.2
70015,15.6,12.1
70016,11.5,8.9
70017,12.1,11.4
70018,13.1,12.4
70019,11.1,15.4
70020,9.6,10.6
70021,12.6,11.3
70022,8,9.4
70024,11.9,10.1
70025,12.9,10.7
70027,16,10.8
70028,11.1,11.6
70029,12,12.5
70031,9.9,10.4
70033,9.9,10.1
70034,10,10.9
70035,11.2,9.6
70036,10.1,12
70039,10.3,10.7
07003F,9.1,8.4
70040,11.7,11
73300,Not Available,Not Available
80001,11.4,13.1
80003,9.9,11.4
80004,9.5,11.1
80006,9.8,11.9
80007,11.7,10.7
80009,Not Available,Not Available
08002F,10.7,12.7
90001,11.7,13
90003,9.1,10.8
90004,12.1,15.8
90005,10.7,11.5
90006,8.9,10.9
90008,9.7,13.2
90011,9.2,9.9
09002F,8.2,12.7
93300,Not Available,Not Available
100001,10.1,12
100002,10.5,11
100006,9.7,10.6
100007,10.6,10.6
100008,10.4,10.7
100009,9.7,11
100012,10.9,11.9
100014,10.8,12
100017,12,14.5
100018,10.9,10.9
100019,12.3,12.3
100022,10.6,14.6
100023,13.7,14.9
100025,12.8,12.4
100026,9.2,10.2
100028,11.6,9.1
100029,11.1,10.2
100030,12.5,11.6
100032,11.6,11.7
100034,8.8,8.2
100035,15.6,13
100038,12.7,15.5
100039,9,12.4
100040,10.5,10.7
100043,11,10.1
100044,11.6,10.8
100045,12.2,15.5
100046,10.5,11.6
100047,10.4,11.1
100048,12.2,12.9
100049,9.1,14.9
100050,12,13.4
100051,10.8,11.8
100052,12.5,12.6
100053,10.4,10.4
100054,11.2,13.1
100055,11.6,12
100057,13.4,14
100062,14,11
100063,11.3,13.5
100067,13.2,14.2
100068,12.5,11.9
100069,12.5,12.4
100070,12.4,12.5
100071,12.4,13.8
100072,9.5,9.6
100073,12.1,14.1
100075,11.1,12.1
100076,9.3,11
100077,10.4,12.9
