Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
50159,93003,CA,34.268736,-119.22490
50167,95231,CA,37.882742,-121.27978
50168,92835,CA,33.903164,-117.91224
50169,90602,CA,33.967562,-118.03384
50174,95405,CA,38.438161,-122.67419
50179,95382,CA,37.523901,-120.85160
50180,94598,CA,37.918780,-122.02618
50189,93930,CA,36.211060,-121.05986
50191,90813,CA,33.781011,-118.19197
50192,93654,CA,36.608675,-119.43761
50194,95076,CA,36.922902,-121.77224
50195,94538,CA,37.527237,-121.96790
50197,94062,CA,37.444879,-122.26253
50204,93552,CA,34.561207,-118.03750
50205,91740,CA,34.119245,-117.85480
50211,94501,CA,37.769528,-122.25937
50219,90650,CA,33.906914,-118.08339
50222,91911,CA,32.608799,-117.06070
50224,92663,CA,33.619221,-117.93087
50225,95969,CA,39.750422,-121.61026
50226,92801,CA,33.844814,-117.95381
50228,94110,CA,37.748730,-122.41545
50230,92843,CA,33.763033,-117.93550
50231,91767,CA,34.080143,-117.73861
50232,93401,CA,35.262548,-120.65196
50234,92118,CA,32.682727,-117.17441
50235,91505,CA,34.166906,-118.34366
50236,93065,CA,34.265003,-118.77177
50238,91006,CA,34.134057,-118.02662
50239,91206,CA,34.156674,-118.22937
50242,95065,CA,37.010322,-121.98523
50243,92262,CA,33.842984,-116.54344
50245,92324,CA,34.061931,-117.31995
50248,93906,CA,36.709717,-121.63997
50254,95667,CA,38.724682,-120.79533
50257,93308,CA,35.487491,-119.00896
50261,93257,CA,36.055121,-119.01595
50262,90095,CA,34.101007,-118.45077
50264,94578,CA,37.703427,-122.12800
50272,92373,CA,34.034714,-117.17305
50276,94553,CA,37.998912,-122.11501
50277,90806,CA,33.801767,-118.18580
50278,91346,CA,34.264635,-118.45961
50279,92252,CA,34.175926,-116.29137
50280,96001,CA,40.568160,-122.41519
50281,91801,CA,34.090409,-118.12700
50283,94588,CA,37.689730,-121.89244
50289,94015,CA,37.682583,-122.48209
50290,90404,CA,34.026959,-118.47432
50291,95404,CA,38.457611,-122.69317
50292,92555,CA,33.922823,-117.16837
50295,93301,CA,35.381408,-119.01935
50296,95023,CA,36.862243,-121.38006
50298,92311,CA,34.894181,-117.03636
50300,92307,CA,34.538622,-117.17729
50301,95482,CA,39.154946,-123.20088
50305,94705,CA,37.856926,-122.25084
50308,94040,CA,37.380207,-122.08787
50309,95661,CA,38.731976,-121.25310
50313,95376,CA,37.728417,-121.42399
50315,93306,CA,35.396411,-118.92268
